"Name","Country","District","Population"
"Cairo","Egypt","Kairo","6789479"
"Kinshasa","Congo, The Democratic Republic of the","Kinshasa","5064000"
"Alexandria","Egypt","Aleksandria","3328196"
"Casablanca","Morocco","Casablanca","2940623"
"Abidjan","Côte d’Ivoire","Abidjan","2500000"
"Addis Abeba","Ethiopia","Addis Abeba","2495000"
"Cape Town","South Africa","Western Cape","2352121"
"Nairobi","Kenya","Nairobi","2290000"
"Giza","Egypt","Giza","2221868"
"Alger","Algeria","Alger","2168000"
"Luanda","Angola","Luanda","2022000"
"Dar es Salaam","Tanzania","Dar es Salaam","1747000"
"Tripoli","Libyan Arab Jamahiriya","Tripoli","1682000"
"Lagos","Nigeria","Lagos","1518000"
"Douala","Cameroon","Littoral","1448300"
"Ibadan","Nigeria","Oyo & Osun","1432000"
"Harare","Zimbabwe","Harare","1410000"
"Yaoundé","Cameroon","Centre","1372800"
"Lusaka","Zambia","Lusaka","1317000"
"Omdurman","Sudan","Khartum","1271403"
"Conakry","Guinea","Conakry","1090610"
"Accra","Ghana","Greater Accra","1070000"
"Maputo","Mozambique","Maputo","1018938"
"Mogadishu","Somalia","Banaadir","997000"
"Brazzaville","Congo","Brazzaville","950000"
"Khartum","Sudan","Khartum","947483"
"Soweto","South Africa","Gauteng","904165"
"Kampala","Uganda","Central","890800"
"Shubra al-Khayma","Egypt","al-Qalyubiya","870716"
"Pikine","Senegal","Cap-Vert","855287"
"Lubumbashi","Congo, The Democratic Republic of the","Shaba","851381"
"Monrovia","Liberia","Montserrado","850000"
"Freetown","Sierra Leone","Western","850000"
"Ouagadougou","Burkina Faso","Kadiogo","824000"
"Bamako","Mali","Bamako","809552"
"Mbuji-Mayi","Congo, The Democratic Republic of the","East Kasai","806475"
"Bengasi","Libyan Arab Jamahiriya","Bengasi","804000"
"Dakar","Senegal","Cap-Vert","785071"
"Johannesburg","South Africa","Gauteng","756653"
"Port Elizabeth","South Africa","Eastern Cape","752319"
"Ogbomosho","Nigeria","Oyo & Osun","730000"
"Sharq al-Nil","Sudan","Khartum","700887"
"Tunis","Tunisia","Tunis","690600"
"Antananarivo","Madagascar","Antananarivo","675669"
"Kano","Nigeria","Kano & Jigawa","674100"
"Nouakchott","Mauritania","Nouakchott","667300"
"Pretoria","South Africa","Gauteng","658630"
"Inanda","South Africa","KwaZulu-Natal","634065"
"Rabat","Morocco","Rabat-Salé-Zammour-Z","623457"
"Marrakech","Morocco","Marrakech-Tensift-Al","621914"
"Bulawayo","Zimbabwe","Bulawayo","621742"
"Oran","Algeria","Oran","609823"
"Durban","South Africa","KwaZulu-Natal","566120"
"Fès","Morocco","Fès-Boulemane","541162"
"Cotonou","Benin","Atlantique","536827"
"N´Djaména","Chad","Chari-Baguirmi","530965"
"Bangui","Central African Republic","Bangui","524000"
"Tanger","Morocco","Tanger-Tétouan","521735"
"Salé","Morocco","Rabat-Salé-Zammour-Z","504420"
"Pointe-Noire","Congo","Kouilou","500000"
"Blantyre","Malawi","Blantyre","478155"
"Oshogbo","Nigeria","Oyo & Osun","476800"
"Ilorin","Nigeria","Kwara & Kogi","475800"
"Port Said","Egypt","Port Said","469533"
"Vanderbijlpark","South Africa","Gauteng","468931"
"Mombasa","Kenya","Coast","461753"
"Meknès","Morocco","Meknès-Tafilalet","460000"
"Constantine","Algeria","Constantine","443727"
"Kempton Park","South Africa","Gauteng","442633"
"Lilongwe","Malawi","Lilongwe","435964"
"Asmara","Eritrea","Maekel","431000"
"Abeokuta","Nigeria","Ogun","427400"
"Matola","Mozambique","Maputo","424662"
"Niamey","Niger","Niamey","420000"
"Libreville","Gabon","Estuaire","419000"
"Kolwezi","Congo, The Democratic Republic of the","Shaba","417810"
"Suez","Egypt","Suez","417610"
"Kisangani","Congo, The Democratic Republic of the","Haute-Zaïre","417517"
"Alberton","South Africa","Gauteng","410102"
